"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2025/12/1","ファミリーマート","本人*","PayPayクレジット","1回","198","0","198","198","0","0","2026/1/27"
"2025/12/1","ファミリーマート","本人*","PayPayクレジット","1回","150","0","150","150","0","0","2026/1/27"
"2025/12/2","ファミリーマート","本人*","PayPayクレジット","1回","194","0","194","194","0","0","2026/1/27"
"2025/12/2","ローソン","本人*","PayPayクレジット","1回","181","0","181","181","0","0","2026/1/27"
"2025/12/3","セブンーイレブン","本人*","PayPayクレジット","1回","368","0","368","368","0","0","2026/1/27"
"2025/12/3","ファミリーマート","本人*","PayPayクレジット","1回","150","0","150","150","0","0","2026/1/27"
"2025/12/4","ローソン","本人*","PayPayクレジット","1回","293","0","293","293","0","0","2026/1/27"
"2025/12/5","セブンーイレブン","本人*","PayPayクレジット","1回","322","0","322","322","0","0","2026/1/27"
"2025/12/5","ローソン","本人*","PayPayクレジット","1回","319","0","319","319","0","0","2026/1/27"
"2025/12/5","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/1/27"
"2025/12/5","GOOGLE MONEYFORWARDHM","本人*","PayPayカード","1回","590","0","590","590","0","0","2026/1/27"
"2025/12/7","ケーズ　ケベック","本人*","PayPayクレジット","1回","820","0","820","820","0","0","2026/1/27"
"2025/12/8","ローソン","本人*","PayPayクレジット","1回","279","0","279","279","0","0","2026/1/27"
"2025/12/8","ローソン","本人*","PayPayクレジット","1回","184","0","184","184","0","0","2026/1/27"
"2025/12/9","ローソン","本人*","PayPayクレジット","1回","184","0","184","184","0","0","2026/1/27"
"2025/12/9","ローソン","本人*","PayPayクレジット","1回","171","0","171","171","0","0","2026/1/27"
"2025/12/10","阪急阪神百貨店","本人*","PayPayクレジット","1回","613","0","613","613","0","0","2026/1/27"
"2025/12/10","セブンーイレブン","本人*","PayPayクレジット","1回","398","0","398","398","0","0","2026/1/27"
"2025/12/10","ファミリーマート","本人*","PayPayクレジット","1回","181","0","181","181","0","0","2026/1/27"
"2025/12/11","ローソン","本人*","PayPayクレジット","1回","203","0","203","203","0","0","2026/1/27"
"2025/12/12","阪急阪神百貨店","本人*","PayPayクレジット","1回","1265","0","1265","1265","0","0","2026/1/27"
"2025/12/12","阪急阪神百貨店","本人*","PayPayクレジット","1回","475","0","475","475","0","0","2026/1/27"
"2025/12/12","セブンーイレブン","本人*","PayPayクレジット","1回","358","0","358","358","0","0","2026/1/27"
"2025/12/14","阪急阪神百貨店","本人*","PayPayクレジット","1回","561","0","561","561","0","0","2026/1/27"
"2025/12/14","阪急阪神百貨店","本人*","PayPayクレジット","1回","460","0","460","460","0","0","2026/1/27"
"2025/12/14","阪急阪神百貨店","本人*","PayPayクレジット","1回","410","0","410","410","0","0","2026/1/27"
"2025/12/14","イズミヤ","本人*","PayPayクレジット","1回","408","0","408","408","0","0","2026/1/27"
"2025/12/14","阪急西宮ガーデンズ駐車場","本人*","PayPayクレジット","1回","400","0","400","400","0","0","2026/1/27"
"2025/12/14","阪急阪神百貨店","本人*","PayPayクレジット","1回","384","0","384","384","0","0","2026/1/27"
"2025/12/15","ローソン","本人*","PayPayクレジット","1回","387","0","387","387","0","0","2026/1/27"
"2025/12/15","ファミリーマート","本人*","PayPayクレジット","1回","282","0","282","282","0","0","2026/1/27"
"2025/12/15","GOOGLE GOOGLE ONE","本人*","PayPayカード","1回","2900","0","2900","2900","0","0","2026/1/27"
"2025/12/16","阪急阪神百貨店","本人*","PayPayクレジット","1回","340","0","340","340","0","0","2026/1/27"
"2025/12/16","ファミリーマート","本人*","PayPayクレジット","1回","227","0","227","227","0","0","2026/1/27"
"2025/12/16","ローソン","本人*","PayPayクレジット","1回","171","0","171","171","0","0","2026/1/27"
"2025/12/18","ファミリーマート","本人*","PayPayクレジット","1回","288","0","288","288","0","0","2026/1/27"
"2025/12/19","和食ダイニング　白鷺亭","本人*","PayPayクレジット","1回","700","0","700","700","0","0","2026/1/27"
"2025/12/19","ローソン","本人*","PayPayクレジット","1回","340","0","340","340","0","0","2026/1/27"
"2025/12/19","セブンーイレブン","本人*","PayPayクレジット","1回","181","0","181","181","0","0","2026/1/27"
"2025/12/19","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/1/27"
"2025/12/19","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/1/27"
"2025/12/19","ｃｈｏｃｏＺＡＰ","本人*","PayPayカード","1回","3278","0","3278","3278","0","0","2026/1/27"
"2025/12/22","ファミリーマート","本人*","PayPayクレジット","1回","194","0","194","194","0","0","2026/1/27"
"2025/12/23","ファミリーマート","本人*","PayPayクレジット","1回","218","0","218","218","0","0","2026/1/27"
"2025/12/23","ローソン","本人*","PayPayクレジット","1回","192","0","192","192","0","0","2026/1/27"
"2025/12/23","セブンーイレブン","本人*","PayPayクレジット","1回","170","0","170","170","0","0","2026/1/27"
"2025/12/24","ファミリーマート","本人*","PayPayクレジット","1回","282","0","282","282","0","0","2026/1/27"
"2025/12/24","セブンーイレブン","本人*","PayPayクレジット","1回","116","0","116","116","0","0","2026/1/27"
"2025/12/24","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/1/27"
"2025/12/25","セブンーイレブン","本人*","PayPayクレジット","1回","235","0","235","235","0","0","2026/1/27"
"2025/12/25","ファミリーマート","本人*","PayPayクレジット","1回","218","0","218","218","0","0","2026/1/27"
"2025/12/26","イズミヤ","本人*","PayPayクレジット","1回","1102","0","1102","1102","0","0","2026/1/27"
"2025/12/26","ファミリーマート","本人*","PayPayクレジット","1回","282","0","282","282","0","0","2026/1/27"
"2025/12/26","ローソン","本人*","PayPayクレジット","1回","192","0","192","192","0","0","2026/1/27"
"2025/12/27","ＮＥＸＵＳ","本人*","PayPayクレジット","1回","4950","0","4950","4950","0","0","2026/1/27"
"2025/12/28","ニトリ","本人*","PayPayクレジット","1回","2342","0","2342","2342","0","0","2026/1/27"
"2025/12/28","ダイソー","本人*","PayPayクレジット","1回","1758","0","1758","1758","0","0","2026/1/27"
"2025/12/28","ファミリーマート","本人*","PayPayクレジット","1回","389","0","389","389","0","0","2026/1/27"
"2025/12/28","ＥＮＥＯＳ―ＳＳ","本人*","PayPayカード","1回","5111","0","5111","5111","0","0","2026/1/27"
"2025/12/30","ＪＲーＰＬＵＳ","本人*","PayPayクレジット","1回","1296","0","1296","1296","0","0","2026/1/27"
"2025/12/30","CLAUDE.AI SUBSCRIPTI利用国USA","本人*","PayPayカード","1回","16260","0","16260","16260","0","0","2026/1/27"
