"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2026/3/31","モバイルＩＣＯＣＡ　定期券（再計算）","本人*","PayPayカード","1回","185570","0","185570","185570","0","0","2026/5/27"
"2026/3/31","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/5/27"
"2026/4/2","ＡＭＡＺＯＮ　ＷＥＢ　ＳＥＲＶＩＣＥＳ","本人*","PayPayカード","1回","62","0","62","62","0","0","2026/5/27"
"2026/4/2","AMAZON WEB SERVICES 利用国USA","本人*","PayPayカード","1回","74","0","74","74","0","0","2026/5/27"
"2026/4/3","ローソン","本人*","PayPayクレジット","1回","753","0","753","753","0","0","2026/5/27"
"2026/4/3","ローソン","本人*","PayPayクレジット","1回","558","0","558","558","0","0","2026/5/27"
"2026/4/5","GOOGLE MONEYFORWARDHM","本人*","PayPayカード","1回","590","0","590","590","0","0","2026/5/27"
"2026/4/6","ローソン","本人*","PayPayクレジット","1回","160","0","160","160","0","0","2026/5/27"
"2026/4/7","ローソン","本人*","PayPayクレジット","1回","171","0","171","171","0","0","2026/5/27"
"2026/4/8","阪急阪神百貨店","本人*","PayPayクレジット","1回","2051","0","2051","2051","0","0","2026/5/27"
"2026/4/8","セブンーイレブン","本人*","PayPayクレジット","1回","976","0","976","976","0","0","2026/5/27"
"2026/4/8","阪急阪神百貨店","本人*","PayPayクレジット","1回","486","0","486","486","0","0","2026/5/27"
"2026/4/9","ファミリーマート","本人*","PayPayクレジット","1回","257","0","257","257","0","0","2026/5/27"
"2026/4/9","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/5/27"
"2026/4/10","セブンーイレブン","本人*","PayPayクレジット","1回","665","0","665","665","0","0","2026/5/27"
"2026/4/11","サケトメシ","本人*","PayPayクレジット","1回","200","0","200","200","0","0","2026/5/27"
"2026/4/12","ファミリーマート","本人*","PayPayクレジット","1回","419","0","419","419","0","0","2026/5/27"
"2026/4/14","ファミリーマート","本人*","PayPayクレジット","1回","408","0","408","408","0","0","2026/5/27"
"2026/4/15","コメダ珈琲店","本人*","PayPayクレジット","1回","1370","0","1370","1370","0","0","2026/5/27"
"2026/4/15","阪急阪神エキナカ店舗（成城","本人*","PayPayクレジット","1回","778","0","778","778","0","0","2026/5/27"
"2026/4/15","セブンーイレブン","本人*","PayPayクレジット","1回","368","0","368","368","0","0","2026/5/27"
"2026/4/15","ダイソー","本人*","PayPayクレジット","1回","220","0","220","220","0","0","2026/5/27"
"2026/4/15","ローソン","本人*","PayPayクレジット","1回","171","0","171","171","0","0","2026/5/27"
"2026/4/15","GOOGLE GOOGLE ONE","本人*","PayPayカード","1回","290","0","290","290","0","0","2026/5/27"
"2026/4/16","セブンーイレブン","本人*","PayPayクレジット","1回","504","0","504","504","0","0","2026/5/27"
"2026/4/16","ローソン","本人*","PayPayクレジット","1回","181","0","181","181","0","0","2026/5/27"
"2026/4/17","セブンーイレブン","本人*","PayPayクレジット","1回","471","0","471","471","0","0","2026/5/27"
"2026/4/18","ＣＲＥＰＥ　ＤＥ　ＧＩＲＡ","本人*","PayPayクレジット","1回","600","0","600","600","0","0","2026/5/27"
"2026/4/19","フォンテカ゛ーラ","本人*","PayPayクレジット","1回","3050","0","3050","3050","0","0","2026/5/27"
"2026/4/19","ユニクロ","本人*","PayPayクレジット","1回","2610","0","2610","2610","0","0","2026/5/27"
"2026/4/19","アイスるんです","本人*","PayPayクレジット","1回","1540","0","1540","1540","0","0","2026/5/27"
"2026/4/19","ダイソー","本人*","PayPayクレジット","1回","108","0","108","108","0","0","2026/5/27"
"2026/4/22","セブンーイレブン","本人*","PayPayクレジット","1回","482","0","482","482","0","0","2026/5/27"
"2026/4/22","セブンーイレブン","本人*","PayPayクレジット","1回","127","0","127","127","0","0","2026/5/27"
"2026/4/23","ローソン","本人*","PayPayクレジット","1回","379","0","379","379","0","0","2026/5/27"
"2026/4/23","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/5/27"
"2026/4/24","ファミリーマート","本人*","PayPayクレジット","1回","290","0","290","290","0","0","2026/5/27"
"2026/4/26","「道の駅」吉野路大淀ｉセン","本人*","PayPayクレジット","1回","626","0","626","626","0","0","2026/5/27"
"2026/4/30","スパ＆ケア　ヤスムラ","本人*","PayPayクレジット","1回","7040","0","7040","7040","0","0","2026/5/27"
"2026/4/30","CLAUDE.AI SUBSCRIPTI利用国USA","本人*","PayPayカード","1回","18269","0","18269","18269","0","0","2026/5/27"
