"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2026/1/1","三井アウトレットパークジャ","本人*","PayPayクレジット","1回","10288","0","10288","10288","0","0","2026/2/27"
"2026/1/1","三井アウトレットパークジャ","本人*","PayPayクレジット","1回","210","0","210","210","0","0","2026/2/27"
"2026/1/1","AMAZON WEB SERVICES 利用国USA","本人*","PayPayカード","1回","263","0","263","263","0","0","2026/2/27"
"2026/1/1","ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人*","PayPayカード","1回","4858","0","4858","4858","0","0","2026/2/27"
"2026/1/2","AMAZON WEB SERVICES JAPAN","本人*","PayPayカード","1回","140","0","140","140","0","0","2026/2/27"
"2026/1/4","ローソン","本人*","PayPayクレジット","1回","150","0","150","150","0","0","2026/2/27"
"2026/1/4","GOOGLE PLAY JAPAN","本人*","PayPayカード","1回","590","0","590","590","0","0","2026/2/27"
"2026/1/5","ローソン","本人*","PayPayクレジット","1回","184","0","184","184","0","0","2026/2/27"
"2026/1/6","セブンーイレブン","本人*","PayPayクレジット","1回","159","0","159","159","0","0","2026/2/27"
"2026/1/7","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/8","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/9","阪急阪神百貨店","本人*","PayPayクレジット","1回","432","0","432","432","0","0","2026/2/27"
"2026/1/9","阪急阪神百貨店","本人*","PayPayクレジット","1回","264","0","264","264","0","0","2026/2/27"
"2026/1/9","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/10","ＬＩＮＥ　ＥＣ","本人*","PayPayクレジット","1回","4180","0","4180","4180","0","0","2026/2/27"
"2026/1/11","ＯｎｅＰａｒｋ","本人*","PayPayクレジット","1回","400","0","400","400","0","0","2026/2/27"
"2026/1/12","コストコ　ホールセール　ジャパン","本人*","Google Pay タッチ決済","1回","34521","0","34521","34521","0","0","2026/2/27"
"2026/1/12","コストコ　ホールセール　ジャパン","本人*","Google Pay タッチ決済","1回","380","0","380","380","0","0","2026/2/27"
"2026/1/12","コストコホールセールジャパン（ＥＣ）","本人*","PayPayカード","1回","5280","0","5280","5280","0","0","2026/2/27"
"2026/1/14","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/14","ダイエー夙川","本人*","Google Pay タッチ決済","1回","1982","0","1982","1982","0","0","2026/2/27"
"2026/1/15","GOOGLE GOOGLE ONE","本人*","PayPayカード","1回","2900","0","2900","2900","0","0","2026/2/27"
"2026/1/16","チャージ","本人*","PayPayクレジット","1回","3000","0","3000","3000","0","0","2026/2/27"
"2026/1/16","ローソン","本人*","PayPayクレジット","1回","193","0","193","193","0","0","2026/2/27"
"2026/1/16","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","3000","0","3000","3000","0","0","2026/2/27"
"2026/1/18","ｃｈｏｃｏＺＡＰ","本人*","PayPayカード","1回","3278","0","3278","3278","0","0","2026/2/27"
"2026/1/19","セブンーイレブン","本人*","PayPayクレジット","1回","321","0","321","321","0","0","2026/2/27"
"2026/1/19","ローソン","本人*","PayPayクレジット","1回","181","0","181","181","0","0","2026/2/27"
"2026/1/19","セブンーイレブン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/19","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/2/27"
"2026/1/23","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","3000","0","3000","3000","0","0","2026/2/27"
"2026/1/24","ＫＩＴＴＥ大阪","本人*","PayPayクレジット","1回","820","0","820","820","0","0","2026/2/27"
"2026/1/24","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","3000","0","3000","3000","0","0","2026/2/27"
"2026/1/26","阪急阪神百貨店","本人*","PayPayクレジット","1回","518","0","518","518","0","0","2026/2/27"
"2026/1/26","阪急阪神百貨店","本人*","PayPayクレジット","1回","365","0","365","365","0","0","2026/2/27"
"2026/1/26","ローソン","本人*","PayPayクレジット","1回","315","0","315","315","0","0","2026/2/27"
"2026/1/26","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/2/27"
"2026/1/27","ファミリーマート","本人*","PayPayクレジット","1回","248","0","248","248","0","0","2026/2/27"
"2026/1/27","ファミリーマート","本人*","PayPayクレジット","1回","198","0","198","198","0","0","2026/2/27"
"2026/1/28","ファミリーマート","本人*","PayPayクレジット","1回","228","0","228","228","0","0","2026/2/27"
"2026/1/28","ローソン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/2/27"
"2026/1/30","CLAUDE.AI SUBSCRIPTI利用国USA","本人*","PayPayカード","1回","16074","0","16074","16074","0","0","2026/2/27"
"2026/1/31","ニトリ","本人*","PayPayクレジット","1回","509","0","509","509","0","0","2026/2/27"
